A,B,C,D,E,F,G
2093-10-30,73799,27587,cuirkovg,-62970.10,iidlwxdb,mpctx
2007-11-27,13772,77470,meiuaf,-288276.76,beknsz,bdcaazj
2091-11-25,49089,22471,kqgefstd,-204668.23,brdgdi,kefybudx
2005-10-23,91748,16365,rresyqvq,200966.63,iod,xnnxp
1983-10-19,77601,11066,fyo,19442.63,gelf,bjuk
1980-10-28,56598,35616,hhp,257227.53,xaxlfidx,ijxodkwp
1980-10-19,59620,62886,odiixady,119458.75,qoznux,ccyavzul
1927-10-22,87783,12469,rnm,-172631.98,olfxq,icky
1940-10-19,10647,23212,cqiyxfis,322782.02,anbb,eng
2096-10-13,81887,77567,fbc,-98953.09,sau,fnibavwt
2073-10-28,21248,85787,jvryf,-58657.67,hrmm,hduvkais
1932-11-17,46677,84796,pcnpadh,148331.03,qwwam,uzswortq
1918-11-11,60458,88194,fzojqvmg,-136499.94,ibgmbs,jowmc
2063-10-22,33408,20176,jkmyel,250443.37,izs,vbru
1906-10-23,74910,67945,uhuig,128183.11,qepuxg,dcba
2061-10-12,3935,95510,xrrkus,-113557.84,dhnzg,btwzpg
2094-10-11,58388,14238,hswdghjf,-339892.58,ckcdpk,fjjvsz
1975-10-13,18286,84259,dob,30347.04,ooptnrz,xyw
2013-10-25,72330,90343,utckd,80631.78,tuuzww,dngsktcz
1943-11-11,11058,64331,hjrp,219410.24,dodnoeqa,kqlwd
1927-10-20,20077,22013,plbwp,226804.18,tfnwhula,ajy
2090-10-14,1029,3933,erqed,-44855.51,bbthkfc,qoq
2033-10-11,20753,39032,fgr,337521.04,gwguins,ryk
2055-11-22,64050,59824,fdnbzxz,-133050.78,qcrij,lgbef
1998-10-16,48287,23770,hioptbvj,331359.98,ggri,vhyhe
1934-10-12,16505,60895,axpvvgf,340442.58,zreasjkq,kxytlo
2049-10-14,2648,47500,qbj,78609.99,qayk,zhlc
1986-11-20,70915,8112,einqmls,-243457.31,rqvrfno,hobbdn
2048-11-20,735,27902,fdvud,78249.75,tfc,fdzcyq
2072-11-26,85444,41976,nwwvnskl,17834.24,bzaqs,bnygj
1994-10-14,31253,710,ezbcmz,256196.77,crjy,thqh
2011-10-30,83677,89717,bsb,95527.67,hzi,xezay
2083-10-20,61986,67354,pjtozh,101918.37,rro,vlxjiqy
2084-10-21,51226,66398,atwxmil,-51866.43,qlp,hgbixn
1904-10-15,29185,41722,edsi,-283277.33,wwamho,rkbhnr
1950-11-21,21022,66800,vqrr,316221.52,qvq,xvipawdf
2043-11-20,51815,53337,isgmz,-82939.95,flboq,lag
1975-10-11,19972,95330,mtmfwsee,-73785.69,flsbbzt,irjxcski
1904-10-27,47725,80701,waflziu,-30561.75,jfajsy,citfs
2028-10-29,41609,76988,vyomwrgj,313775.90,ldjg,inkyxygh
2075-11-30,80735,68513,wnbjnb,-102439.97,fyu,fiwq
2053-10-27,82917,67119,nyxnt,-215421.90,gycemf,yghmes
2067-10-14,90103,72545,enwpm,-113797.66,czd,prff
2047-10-16,67667,15189,zwsrrx,-201610.98,nhrt,mhu
1954-11-23,52797,50265,gjonr,132207.63,bxcd,hkvu
1982-11-28,79855,53601,dqz,-223064.02,mgswhq,zuultzto
2077-11-30,96929,58995,whwhb,-111146.28,ozs,nfl
2084-11-20,30762,54405,orr,-137869.03,rocqf,yrfkpy
1943-10-21,94176,54815,ldryox,344942.11,odzeu,dypntfg
1980-11-30,2006,55173,iewa,-212916.33,okvr,hcmf
1961-10-24,89831,13443,tlyz,216606.21,xkzgi,xsvnugr
1935-10-30,34777,22359,ulpjvqlt,143156.87,zmit,zlcgp
1953-10-28,89201,89080,cyf,187653.91,hdc,dvpbgnri
2028-11-27,65357,41276,gpbwlt,336738.56,ygmzlq,jrqpu
1907-11-14,89110,11273,ayh,299670.39,cxkstec,ftamu
1959-10-18,20543,58148,lncirz,-343047.52,duwtj,ewyjj
2029-11-16,43616,81502,ektburg,-158814.70,oqtb,ytzzf
2045-11-22,7975,29177,veiwonsh,293048.92,ljgri,hfki
2007-11-22,28046,52363,ktxv,-63563.42,tujly,ouum
1997-10-13,37210,57529,kdgb,-138021.65,hkwuz,qlfdw
2053-11-18,4790,75139,bzliiht,150331.23,lohv,eary
2035-11-19,27593,84955,ziahz,-229017.93,cvicuha,egfp
1930-11-15,53049,49018,ufhdp,209932.77,zwblrwu,hyapbo
1994-10-11,47793,44257,wbgiw,53069.68,ozmcjaow,nebp
2000-10-19,83025,37662,nqkuqg,-65684.44,gkrz,mri
2010-10-13,17840,72768,pjvhrhni,103768.64,hutywkud,npcax
2032-11-13,90328,3115,ctvaux,-126156.79,dfkl,axqqh
1943-11-15,92411,51060,twdnxmph,-327590.56,aor,ncars
2018-11-27,86982,76711,wqdgwbvw,-166506.95,jpdbprgx,wxnljw
1977-10-30,79327,46016,yqekt,289545.76,lyanhmss,kzhqzyu
2086-10-14,94024,38464,avenf,306110.74,oodmxix,icm
1915-10-21,86515,87648,hlt,-89972.85,ajpgzsbn,sll
2087-10-27,44843,44756,yaqy,170663.78,mrwv,raztavt
2021-11-20,368,52713,uqfrmdsj,288746.85,tphoj,dgqcq
2012-10-15,11537,99211,wthoziuf,172986.54,atl,mqpmgjtk
1907-10-13,9768,90908,dxmzsrot,73009.21,ysivnfi,dax
2055-10-21,83265,93272,ezaujhiw,19250.33,jrxa,hmmfjfn
2036-11-18,82985,31689,rwifotbj,-102424.51,bimopyme,owgkcz
1922-10-17,65079,29819,dptqeaag,-319500.24,uwtdur,vjm
1977-10-16,79852,68415,suuzoor,324322.91,waw,ifinfhz
1964-11-28,49034,3914,wjvg,-66508.71,kdbaua,doyn
1999-11-12,88312,42656,jnxc,-340705.96,uksnuaxz,uvvj
2005-11-13,9513,74618,hlfcwb,-129509.74,hwuih,vnusd
2021-11-11,20923,36626,iur,14068.16,fwdvcxrc,iouo
1990-11-18,22128,69929,zsmmmw,-279008.12,ljamv,rpr
1924-10-14,48792,10993,olu,-68467.27,uybf,eujeb
2035-10-11,56609,99308,bgxxrlk,-332736.65,podxowqb,leijror
2068-10-16,47908,33905,zbhqzsyp,-192352.48,jwulr,scstlw
1902-11-18,21889,74722,adndv,-148974.02,oaxho,rkshcew
2015-10-26,81385,34614,rwdiqrva,-289307.15,yhvj,vioeqw
1965-11-25,37504,11712,cncb,166229.85,kcfaw,wwkeypc
1916-10-20,76027,96864,vlofbt,-315634.19,izmcoin,hiqb
1904-11-13,66887,17941,lnl,74293.72,yajwug,xykogsl
1978-11-11,36751,73600,kfunfnf,129904.68,kqosmyy,gbmk
1956-11-27,23136,78972,zjmu,89123.12,xvxknsve,feztmfdk
1967-11-29,31889,692,cqi,80331.59,qns,twvxbkpe
2003-11-23,35935,94540,cpfdmrfo,190411.94,jjcmmdih,jnicwbx
1939-11-14,84752,31367,bgqvz,53861.23,wtfn,gur
2040-10-19,67145,94594,glfefb,14552.17,tmq,sldptcyv
1986-10-19,41941,82764,kego,117963.41,hxor,gfcjp
2086-10-16,32072,61974,ggctavgt,109242.80,fvsq,oqbvq
2030-11-29,36429,93743,bixyl,-24858.55,kusgdge,ccuany
2024-10-11,31979,49494,lchhlu,-60595.24,ppsbec,ciew
2096-11-29,98696,29325,qbgtjy,85323.62,rpou,juyja
2081-10-12,69826,86918,dlsptkt,-42171.27,nhit,lqjylxa
1948-10-29,65864,23811,vwslpjem,266468.37,xfopqk,bolqheuz
1947-11-29,31598,21013,wigwf,255761.49,peqjboq,dimm
1983-10-22,49167,76594,zxfdxmv,-270413.06,xjwvw,ocf
2090-10-16,38633,37743,nbagcwn,-327682.24,agqshqhy,faapdbq
1981-11-24,84112,27322,xvn,-36698.23,kintnztx,qejh
1904-10-13,15180,86888,tsj,156053.21,okhjmefg,ahejsj
2017-10-11,98303,57331,ryrdrtx,32631.46,jqk,zdei
1948-10-30,2162,46726,kospx,-324025.91,flfcmm,acjrett
1929-11-24,88086,12688,qholsq,-89581.45,shcc,mpt
2076-11-15,13344,38846,dvtcl,112582.11,mdoo,htbl
2070-10-12,60316,54721,koci,-156336.70,jcrkanj,hsckrixl
2018-10-28,45800,22256,gpqpce,-344897.66,qnkw,rfkuruay
2042-11-24,84698,47787,fndrppl,-18214.48,afk,iam
1933-11-25,91334,45157,eszds,334415.41,cftc,upog
1986-10-16,75260,98172,gcwjhbo,218236.18,nmgw,kgfin
1954-11-25,58938,14758,nfhefboo,-33939.40,cpjsynxm,dnmfndk
1983-11-24,11892,4610,uekif,308948.59,eliaavl,fjmosm
2090-11-18,15138,50093,ixmotdp,-111511.28,mzub,rln
1906-11-27,170,53316,zbokn,-229043.21,vwxfypje,nrzwqis
2056-10-17,22155,93247,wbnknokp,240896.54,dmdpqm,ick
1964-10-11,93500,6537,vzhjd,161186.93,oyoktz,jsig
1948-10-13,68588,5359,qhv,82972.22,exwxqhi,mdcbytp
1910-10-13,25777,559,oiqwrf,-200030.66,umnwd,hdrqakp
2096-11-27,46528,55760,hnggyc,-127957.13,rsa,zgqayt
2088-10-19,52050,38510,rxchpm,148686.50,fgz,ibraarv
1998-11-19,37325,49620,rwpf,280116.96,bxbdj,bhum
1945-10-27,28411,84195,rukenyp,36950.43,wmn,jypn
2027-10-25,44327,51491,eiihnwm,30254.47,cxamhslk,vkqms
2013-11-30,74266,38963,kudx,-218468.76,wghqzd,txc
1903-11-13,41496,83298,epmzyov,-264799.65,nxa,tot
2052-10-18,26165,15087,qovbhmp,279895.63,qmroro,ifclqoqx
1970-11-24,34620,1298,olkxkhj,242160.01,yudfifhm,alcnksnl
2005-11-15,68290,8014,ydxz,-61218.15,ayuoawb,cms
1991-10-13,4916,52176,hiuf,287629.34,pggqeove,kga
2080-10-13,39298,95507,lfzut,329598.22,oigtrigq,nxm
2001-11-19,71545,25697,cvr,228719.26,bylxj,opfimqyc
2047-10-29,91372,51107,xqcvj,143289.48,mvvnfy,xnnzguuj
1973-11-20,95308,13885,hfxcr,-158719.05,rgxqd,mbo
2070-10-24,39801,63339,fdnq,150558.26,hoommwdi,ldfxnso
1986-10-17,89367,44870,wrmj,100805.98,nzi,hpsqyaqj
2040-11-24,40293,51776,xqxkny,162689.17,rxo,ibb
2068-11-19,28146,38301,eicltlk,188690.86,znsarvv,qfqxpm
2031-11-30,24329,9902,thuojlw,-119703.69,sctlztxq,jkeb
2029-10-14,93178,6244,wbxoyw,178743.44,cupwn,esm
1992-10-11,94131,19348,ioeoslg,124039.77,vpiumcux,zpcohe
2006-11-26,16359,82761,chbmkevx,115953.68,ovibjlui,qdlrguwx
1959-11-28,78208,88187,bvcjdp,-41999.67,tvr,ikznijf
1934-11-28,27855,34847,itniwuk,80176.42,iebdb,lbktjkb
1988-11-11,86463,6592,dsiynp,201042.77,zsa,sriaygip
2003-11-22,14308,25094,bpelgrrw,-296630.37,xzfp,zjyjjsm
2074-11-21,87524,92321,ffoohkyo,-248014.45,cupsxai,ewwobpbe
1948-11-16,38656,40015,aus,171879.02,zkzzh,cipko
1917-11-13,98301,9587,zlbisrnk,-294345.38,ojytzbog,gapfvl
2090-10-11,45260,98421,wtgpr,-278740.59,udkt,feeueaf
1996-11-21,84828,99519,tkazx,92153.69,igscsovv,odqml
2060-11-15,10306,20582,qabtgq,-156890.47,hotog,orgc
1910-11-22,25862,70753,ggnwxpb,16371.97,yarq,ymo
2096-10-20,39096,6788,umcl,-248172.88,kvczc,lmmxebhd
2072-11-17,73659,90297,awrqps,-333147.85,cbc,kjxeswdu
1991-11-18,2068,57839,tki,265703.89,gwozt,pyczuoyh
1971-11-21,21021,79122,oztz,148441.27,lhvs,ufvzxtzs
2062-11-14,30402,75031,rir,311881.44,kiwwk,rsrmyoiq
1959-10-16,22902,77787,sbwml,-296029.74,dcw,ilooh
2037-11-30,89676,53481,hqbq,276240.41,vbumcj,noalcc
2021-10-27,57339,76108,ukuj,-114393.19,vbvi,klbmwmyw
2019-11-11,91563,79677,zini,-320599.42,vexn,sigasy
1953-11-13,82650,58199,pgp,201116.00,mvdr,ugq
2047-11-26,447,89900,aahvsw,283216.03,mbm,qfndplb
1926-11-17,17320,97657,fatyiazq,237375.13,gbmgz,agozp
2000-10-12,33775,48290,jvelmidc,-133436.46,ikqihkym,dacjzfde
2010-11-15,39563,61615,mbmssf,265407.60,plutnnf,jglgsazh
1992-10-28,27907,60702,toipnnjq,190304.96,oguijs,hyny
1907-10-20,74604,64022,icsfctyr,-193658.80,bwjl,jerynob
2003-10-12,22533,64231,sqrxf,117993.14,lfizwp,aymdqv
2095-11-15,93891,16496,pmwl,170920.16,buxzntby,tdbs
2009-11-29,74540,27452,zpahl,-224929.59,movtzi,ahyrx
2084-10-20,16600,19967,kfe,-337461.89,frcbqnoc,smtqfqvk
2007-10-18,58971,12072,xfisu,73776.30,dtbtqt,ubjme
1983-11-23,5513,16940,uyfkbt,-199636.12,gkaxcn,nwdqq
2040-11-14,64620,62645,tur,-291327.93,bof,tamt
2001-10-14,55459,23145,ndbwzb,-190390.62,bvo,bzcbrw
2095-10-12,11537,72051,hplcamh,318034.26,npromyts,ivykmemu
2040-11-26,85802,93675,vyhojg,169218.72,cosmcg,xddwx
1903-10-23,50323,29035,ozvvby,134772.82,uwgurrhr,xxgg
2063-10-25,26181,30690,vgcv,257426.41,uzho,fkagpfmf
2021-11-25,17600,60003,cybvxif,-162110.76,tptzkh,eejh
1940-11-16,71514,9459,kit,110861.22,juxxr,mmm
2035-10-20,95790,49970,fnlcau,-207348.06,yxtxenco,lbe
2025-10-23,69733,31996,jhuhyld,-120099.15,trzlxyx,czira
1933-10-23,35410,7906,bdfi,191991.63,qahuh,gks
1970-10-16,20662,94889,phjfw,-280024.40,qbydw,pwkmblhd
1962-11-28,22410,86788,tav,186806.14,vbvgy,tlr
1910-10-15,70993,47844,tiduwt,-281884.18,tmwkwf,malagn
1968-11-30,55585,84932,ndtfnc,-54606.24,pek,nocvo
2097-10-26,45476,51420,exskgc,325535.38,clb,pooobxf
1911-11-14,57357,73614,rxfnbqrq,65371.13,uun,nqld
1925-10-22,82336,14291,jiyl,159793.78,emzkumo,ibxm
2044-10-22,51935,49749,guim,-259108.86,yvrn,vzxf
1981-11-17,92215,53663,ejeqgey,163150.50,wctsuor,uxuge
1976-10-18,35464,71715,mde,45438.48,rcb,fyd
2020-10-16,24084,88865,gjlrier,-340915.61,nkw,hrph
2009-11-30,12960,72045,bwtn,-168784.57,azmwwga,xjfj
2031-10-30,62702,75147,npqjckr,214530.71,schedo,lcx
2062-11-11,54038,27512,yuf,122181.03,nnenwmov,gacyetfk
1922-11-20,99258,53934,lruyt,136002.32,bubxpbov,tidqng
1955-11-27,58695,11476,yzzz,-735.33,qfxui,ewttv
2087-10-20,15417,18992,caksfhry,-276587.62,hjluhj,qhzzhqu
1913-11-27,49817,22639,uzef,226832.29,gxfxmxye,qufzts
2024-11-16,94748,91885,fksocbke,218879.99,wpgcdy,dtyuxj
2057-10-20,20418,81944,cyih,118188.81,qkhe,bef
2061-11-28,83394,28091,kfs,299944.87,vitbqcr,lmcqrwd
2002-10-14,23232,80595,vcia,147375.81,yova,jblu
1946-11-17,80715,73347,qoqoi,52918.75,bfordyv,toztgurz
1917-11-25,4512,4791,ujqjwku,-161694.94,kintpn,ahgnx
1931-11-23,12671,17411,rsklum,153244.03,puuc,awyokjc
2061-10-19,95247,79588,snl,-208360.67,djcear,ptdlp
2062-11-11,76913,92473,craa,-276829.68,ucgnvlz,gnmjwktk
2080-10-15,88766,28849,kupv,4807.60,ftjy,wjff
2075-10-27,97162,41355,nsxy,230179.88,ktscwqfr,xaoik
1989-10-13,13798,77369,xkzvq,108473.74,vjkvtujv,hcq
2075-11-18,92970,4207,lkwcs,190971.18,lelzsjg,rmwmb
2068-11-13,66772,94721,pkn,131249.41,abic,hquopte
2017-10-20,29779,46002,wvwsxgrw,-300103.54,xkvedf,ytfuix
1920-11-11,49224,13598,uoh,-201946.50,pmdxzsw,tphj
1916-10-27,46891,90131,mbr,256414.05,uyxmkca,fiqk
1923-10-11,96809,32610,opm,-336480.01,sscsxsxr,lqr
1907-11-16,47385,51765,akwuo,-41914.74,kjhsm,mgaa
2009-10-22,46375,51803,hntmtfw,-145385.62,xey,vwdhqhc
1988-10-11,22108,19451,nlax,-117883.23,mxlr,pry
2073-10-27,39148,92508,qwg,209677.41,buonjdrx,kkhlzr
2080-10-26,8578,71532,hkbnr,180795.36,ourb,pvdp
2061-10-14,16434,31534,mbfxwtuq,161674.75,kzr,uxuckd
2079-10-21,22116,33087,kmsgfe,30102.49,dpbsppwu,wtfoas
2077-11-22,82552,15644,larxivk,-251337.49,yhragzvv,pbjiqzx
2015-10-11,29464,88155,pceqmnu,29666.21,cuhn,rotsdmcf
2045-10-20,12713,99746,biddnif,190785.26,alft,susmyr
2083-11-10,58720,51952,rvyux,-295954.58,kkb,yhoptw
1995-10-21,69128,56684,anhxnca,93931.69,mvk,wanckufd
1931-10-22,3861,89197,lttnaen,-168396.11,jtgiso,gokis
1944-10-21,64611,82468,yfs,122837.44,ggyvfvq,eizdb
2066-10-28,42395,13132,egupvc,-2793.28,jzuhm,vnppmbwb
1970-10-17,17700,90155,dclwayw,186372.91,tzg,jje
1946-10-30,53675,70853,wqhhk,-98263.24,lvg,crme
1921-10-15,56054,54473,piqqri,85921.83,saojoph,jpg
2088-11-16,41735,67656,qmfinjb,100318.05,pqxd,psduo
2065-10-18,92632,6641,eysgj,20605.18,lmhsli,nodvuurw
1900-11-10,9180,2088,qhagzhw,-88809.69,xeuv,kbbmol
1970-11-14,36237,29824,ikatfqi,312552.43,dfncqih,cfygcrsg
2064-11-15,45756,86744,fnaihfhx,291684.60,xyv,nzfjgsu
1952-10-23,1194,50631,yjm,-166670.35,nbdowmdp,jzmt
1934-10-27,35738,33771,sbslxsk,-1482.73,akdbxnnz,zzkrg
1905-11-16,85933,76333,unslsbi,-50750.46,kvlxg,iry
2034-11-20,89425,11660,jrkj,-250341.67,lkfhiq,lxmi
1995-11-11,29603,56935,ecdrv,-39225.96,nhyg,kjwku
2075-10-30,72786,95074,esm,269532.67,thgppt,cjzvfaj
1936-10-22,18117,47202,qxd,-54724.71,cuiacmf,eqg
1957-11-30,60915,94929,mvuf,221042.71,dovgoem,kesinen
2015-11-22,92186,36337,yswd,244873.11,rhuq,nrnayifc
2079-11-12,34314,7902,cbprq,-48938.32,cytnq,pxrskka
2092-11-23,18849,44541,ftlwbum,77191.85,ylcehv,pidv
1904-11-28,62796,30833,ndxtvxi,203891.58,dafveknd,wjwqeb
1973-11-24,89730,56961,vxllvx,24522.03,hrgt,foqbecj
1979-10-16,9088,93621,nmtlv,255009.78,sslqz,spmvz
1960-11-29,62156,76887,fvo,124319.31,rhs,ttj
2056-10-28,9445,36528,ijpgxin,154083.68,bryzbzhk,aqe
2069-11-25,46024,44690,vogbumq,210857.77,mxbcyvx,oap
2059-11-28,51051,72426,vfvz,-327273.78,kelu,rzrhyb
2007-11-13,90386,50554,qieieci,-873.25,updddiya,joddgahh
2064-11-13,84748,70200,knekuxxp,-55983.68,pasjv,ifh
1949-11-16,78428,88077,honmjk,-243803.30,kmwb,hwpzzbl
2075-10-26,32125,21873,nnzecatm,303906.29,ykdhiw,tlwmg
1987-11-20,92705,51745,accvydxn,-84930.52,idzp,byg
1973-10-10,13986,58729,ohpto,62717.32,yojbzl,kgallrdi
2051-11-11,291,50535,fdf,297153.09,jmvhkg,jbzuhinu
1960-11-11,95467,75622,gxhlkwi,-311832.00,fcxbj,ebmuch
1959-10-27,41819,22010,xbhjmngh,-159799.81,dhy,fyq
1938-11-13,19999,48191,juxj,-289653.35,rjtuijp,ffciqhgs
1904-10-21,3942,80215,fqgqsnlq,-291989.07,bpwq,aat
1980-11-15,11243,42251,upxwdg,-191318.80,daphliex,qzv
1988-10-17,43279,23994,zzhshd,298109.85,akas,hgj
1984-10-14,11377,24671,uizf,-258983.05,itvmb,flcqf
2002-10-29,55374,85245,uovu,-267586.26,rehwzd,qgz
1922-10-26,64083,12018,uwyl,-98201.14,odfetxjm,kmwpq
2089-10-29,30507,41933,rrzoftn,-243118.61,kkbsavw,hvojlisi
2002-10-13,82023,73424,njf,-249512.21,hbzxudry,qqa
1927-10-20,68320,40924,mqvbs,-152748.04,yao,cxf
1900-10-17,76999,56718,iplwsfs,-196840.53,yggut,biiuu
1952-11-18,5780,16558,yetq,100310.65,dttnld,wnxcu
1990-10-11,79318,14312,bdzo,189378.35,cwjvh,vne
2069-10-11,33048,12853,oge,-10077.07,bslygi,kpzjdqi
2061-11-17,72488,19826,pxtz,315073.90,xvau,ghtnmae
1957-11-19,90818,58994,qjaz,236729.30,miygnoyw,bnqdu
1950-10-10,37002,28034,ihxvlge,-20680.55,wtspbcix,qdf
1933-11-17,64859,31200,ffm,-295116.33,zhw,uadlrjfn
2030-11-23,51181,45192,oyswg,8633.88,ceicwans,arv
2020-10-22,76427,30202,qvpp,155167.48,rqxg,vpu
1933-11-30,20044,4694,ksmodtis,181510.40,ajhyk,nzly
2092-10-13,17955,61701,djflhmiu,185603.93,clhz,fkldw
2059-11-17,9693,32944,rnzsevxx,76626.63,aodw,rqkvziml
1969-10-20,26474,96816,wtyclwts,-326373.08,vgz,cdlqk
1913-10-22,88506,76722,gxyl,107806.70,jprmrcrf,nsdi
1951-11-16,31566,24898,gggc,-116951.47,ywflj,vrwcdf
1952-10-17,81033,10764,bvu,326873.58,jjouyep,otcn
2063-11-21,94009,70476,mvxnj,-205179.15,bwblspd,ysfrgg
2059-11-27,88107,32185,tgidxjb,-81396.27,pcx,hjeftwql
2001-10-23,10679,10578,tsoyignp,-205611.16,asqwm,dltcmbb
1900-10-15,5287,51471,jdaee,13951.22,nrfh,ywsnonjz
1932-11-12,30814,8206,vsnxj,242454.81,ezxoqvuo,nau
1916-11-30,6692,48716,gjuej,-32553.84,shnmv,zxplcc
1978-10-29,59823,38060,npe,-79914.56,jeck,ehjairj
1982-11-11,53650,23040,krmnacqi,-176978.05,cnssxs,lzi
1916-10-18,52448,36705,jabv,-108387.97,hyf,ttxxx
2002-10-27,89218,1982,vwr,129294.66,shnmn,vixhxa
1944-11-25,19984,87834,zstz,-330849.57,lrbcrz,nkvwke
2075-10-24,91976,86935,zffdnve,-72871.96,dtacmur,chv
1980-10-18,41993,46599,zqy,304538.10,dku,uvjsoejk
1949-10-19,58424,76581,cgzfspet,227540.31,njpqsf,ziinofx
1962-10-13,34915,9951,tsoira,-266622.37,oagusg,jlsdyvo
1996-11-23,98410,12594,bqve,-226159.20,oeu,eomkb
2030-10-21,9045,3131,jewap,-227170.77,dxckzucl,rqj
1971-10-11,59108,35721,zdpv,173008.69,rnn,jtxmvx
1909-11-22,29589,94868,yhkfuf,58207.00,fmvhbfe,grh
2087-11-26,2249,6963,hqa,176938.38,iwjiu,jija
2097-11-24,96461,34904,pesyuz,63043.69,zdkmvsu,qnbs
1967-11-26,38786,26595,aclofi,-267.16,syio,tdi
1947-11-28,47353,5537,paeqt,-193071.65,tdnyys,variijcu
1914-10-28,25827,61402,aby,343005.40,rkhqnku,dgtp
1959-10-21,86532,77878,drzjw,188816.79,xeuis,yoc
1900-11-26,91562,34207,alscxbfg,193762.38,kne,opqk
2079-11-23,28047,26639,ssulva,-2357.73,ropon,qozahx
1915-10-18,86662,8703,hlqlhkfu,301219.31,qxvw,phmegn
1959-10-13,29398,75146,xngonobx,78533.05,gotg,npjv
1992-11-17,33022,12884,rtptrerr,-102509.56,miztzet,escbi
1975-10-27,60122,72333,krvdvlsi,308170.60,awxfqvk,bxsnxv
2059-11-10,34126,17021,rzxg,313481.54,zkjnblo,wdz
2037-11-27,19067,75701,fzgyp,156678.73,homs,ngktrqa
1943-10-24,42464,23416,jwmuhv,-59089.24,qhglbto,yuilknws
1990-10-30,69496,73878,iirpre,233925.87,lohwv,qgvtzyfa
1996-10-16,32560,240,lsf,36981.93,fcxiy,opq
1914-10-13,28076,53516,dlxj,218865.61,rdtnvxk,hyjcfo
2032-10-28,38131,5953,vbdegqs,-316555.06,ijzrj,fsxjfpcz
1989-11-28,248,42674,chhise,341570.97,evmxq,egb
2079-11-13,36262,55643,gthi,-282870.45,wzsk,vds
2070-11-27,10754,54284,qfxbuga,-49249.73,ofajna,uizgx
1924-11-12,51184,6577,vhr,-201462.69,dukpeel,wwbxadt
2086-11-21,53674,58268,ztfg,296964.51,qhlnly,ucwvfzu
2029-11-16,25526,10581,czeixask,31553.93,erl,mmydrp
2055-11-20,56143,31375,ytnjs,18940.62,syhhzqc,umapay
1905-11-19,2942,63083,iuzfs,95068.50,okb,oakp
2010-10-30,31826,90722,suykd,101559.33,ikdz,eumb
1900-11-16,87274,95887,vrl,94664.58,fpwtgww,fbznjmuk
1962-11-29,20165,6584,mxlz,276765.42,acz,hnxymxe
2009-11-13,93239,51729,txf,22239.72,ffqm,jdqxu
2012-11-27,43904,20651,murru,104465.00,qervn,ygvszh
1906-10-30,367,22201,fxv,233948.41,hgwlphcw,exx
1968-11-29,67756,3019,lrvgncoh,-94255.66,zcmr,lelvjxg
1904-11-28,83500,9221,uvnzbyz,202675.52,mjg,cyjrbc
2022-11-13,36613,73970,nlzcqzi,-76793.18,bawv,ybjis
1920-10-28,15242,55429,xjhb,-169814.24,xceojdr,mctd
2077-11-22,56810,57806,lwzmpp,298054.22,dcyamjsq,tvtegx
2037-10-22,13236,7202,udgq,196562.09,bbatew,mxbroww
2029-11-21,26071,60461,ifez,178997.51,ysp,qframwjp
1936-11-23,50202,50031,eblgn,229034.38,swrpafvo,nmskatsj
2038-11-13,27007,95575,jwymkudm,-76686.82,jyhqea,ryyypm
1913-11-22,33152,96408,vgj,263998.51,mzmvs,dzquxa
2087-11-12,41028,51751,hcuhffrd,236008.90,cozdg,uyqvyld
2051-10-26,4904,75697,hcljprss,-220641.81,agty,uaq
1901-10-20,47985,88527,uct,-143872.17,creh,tlyd
2092-11-21,63767,83228,gkwivtje,-8393.59,vnmdiqz,boxkbbby
1943-10-10,74981,59721,lhqyjp,165368.82,qwimzpuo,rnchku
2013-11-29,67682,65894,jggu,175068.07,ttpsl,yeybdf
2018-11-30,18594,24268,sjmxprdj,-284658.42,nndjrap,ogbagb
2028-10-27,11879,53189,ggdru,-131598.75,zfojqkpe,mhdoaoge
2065-11-22,11011,68138,hrldo,160745.09,qxwpruiq,pxt
1987-10-24,52563,70517,qyatj,48353.64,tvd,lxlmoc
2014-11-26,40209,68812,ftyga,-182239.25,ogdfvbm,egj
2025-11-22,18216,6073,lmvhqldp,252975.04,lforn,xzc
1903-10-21,95387,59384,rxwm,110869.15,dgay,tqwc
2017-11-16,2111,64980,azjg,-155419.91,vvxydla,pvriczwv
2076-10-29,63910,39665,qkhde,-136707.31,ccfq,tsaoy
1973-10-30,60768,58647,tbxyzhv,91128.81,thtbf,htbudhh
2086-10-26,14249,63251,wyhcs,183043.82,jeyvixx,wjrncql
2090-11-22,87691,2588,iku,245987.38,tnje,bzo
2032-10-20,78393,22026,hfvf,83336.46,tplivxi,hdxmqouu
2066-10-21,21875,77117,pblrohqr,-199614.56,jnb,rezvuz
1911-11-20,29038,30370,qtmnd,41659.74,lknz,cmm
2032-11-25,11563,79300,fwtxge,184909.47,sqhxqw,ngk
1962-11-13,76154,55157,mrcue,188790.10,plliavx,ymspg
2018-10-22,93855,11586,hixjgji,332047.74,obx,eviaij
2051-10-12,3199,37807,bpyvxeap,-40042.86,revynr,nem
1940-11-10,48952,63517,doodef,48649.61,zxjv,eewzydhj
1959-11-21,66780,40236,ikgmw,-96819.76,qfwibcki,nyqtexh
2007-11-16,83235,43998,dpaa,-69160.44,glaom,etxqj
1956-11-24,64704,10917,bte,-118598.18,erillw,wzyptwg
2094-10-18,42960,73355,dcoq,-240671.54,evtx,hlkrqi
